id,defects
102070,0.08
102071,0.13
102072,0.32
102073,0.16
102074,0.17
102075,0.16
102076,0.1
102077,0.35
102078,0.07
102079,0.33
102080,0.08
102081,0.2
102082,0.87
102083,0.28
102084,0.35
102085,0.4
102086,0.43
102087,0.69
102088,0.23
102089,0.46
102090,0.52
102091,0.16
102092,0.2
102093,0.42
102094,0.33
102095,0.47
102096,0.14
102097,0.34
102098,0.18
102099,0.17
102100,0.24
102101,0.38
102102,0.33
102103,0.19
102104,0.16
102105,0.45
102106,0.34
102107,0.28
102108,0.43
102109,0.46
102110,0.31
102111,0.5
102112,0.54
102113,0.35
102114,0.32
102115,0.2
102116,0.52
102117,0.53
102118,0.15
102119,0.51
102120,0.42
102121,0.52
102122,0.29
102123,0.17
102124,0.32
102125,0.58
102126,0.27
102127,0.4
102128,0.29
102129,0.11
102130,0.25
102131,0.31
102132,0.33
102133,0.29
102134,0.21
102135,0.31
102136,0.07
102137,0.34
102138,0.14
102139,0.15
102140,0.45
102141,0.19
102142,0.32
102143,0.37
102144,0.33
102145,0.34
102146,0.17
102147,0.26
102148,0.18
102149,0.33
102150,0.54
102151,0.34
102152,0.16
102153,0.69
102154,0.52
102155,0.35
102156,0.19
102157,0.43
102158,0.77
102159,0.68
102160,0.2
102161,0.3
102162,0.2
102163,0.48
102164,0.21
102165,0.3
102166,0.34
102167,0.33
102168,0.61
102169,0.34
102170,0.53
102171,0.31
102172,0.28
102173,0.45
102174,0.23
102175,0.45
102176,0.17
102177,0.46
102178,0.57
102179,0.37
102180,0.3
102181,0.16
102182,0.41
102183,0.36
102184,0.32
102185,0.18
102186,0.66
102187,0.22
102188,0.22
102189,0.27
102190,0.24
102191,0.26
102192,0.08
102193,0.36
102194,0.52
102195,0.19
102196,0.5
102197,0.46
102198,0.37
102199,0.59
102200,0.27
102201,0.2
102202,0.36
102203,0.25
102204,0.11
102205,0.54
102206,0.3
102207,0.16
102208,0.21
102209,0.15
102210,0.54
102211,0.02
102212,0.21
102213,0.26
102214,0.69
102215,0.28
102216,0.3
102217,0.32
102218,0.35
102219,0.28
102220,0.32
102221,0.42
102222,0.3
102223,0.64
102224,0.55
102225,0.22
102226,0.29
102227,0.42
102228,0.08
102229,0.45
102230,0.56
102231,0.61
102232,0.11
102233,0.47
102234,0.22
102235,0.53
102236,0.08
102237,0.36
102238,0.22
102239,0.2
102240,0.29
102241,0.24
102242,0.34
102243,0.4
102244,0.57
102245,0.24
102246,0.42
102247,0.37
102248,0.2
102249,0.45
102250,0.18
102251,0.11
102252,0.3
102253,0.73
102254,0.42
102255,0.14
102256,0.37
102257,0.21
102258,0.33
102259,0.35
102260,0.47
102261,0.46
102262,0.33
102263,0.4
102264,0.65
102265,0.35
102266,0.74
102267,0.31
102268,0.23
102269,0.29
102270,0.16
102271,0.04
102272,0.4
102273,0.44
102274,0.24
102275,0.24
102276,0.08
102277,0.36
102278,0.68
102279,0.31
102280,0.41
102281,0.24
102282,0.31
102283,0.25
102284,0.28
102285,0.47
102286,0.65
102287,0.39
102288,0.26
102289,0.28
102290,0.25
102291,0.24
102292,0.31
102293,0.2
102294,0.2
102295,0.39
102296,0.49
102297,0.46
102298,0.19
102299,0.1
102300,0.33
102301,0.28
102302,0.43
102303,0.07
102304,0.34
102305,0.31
102306,0.06
102307,0.31
102308,0.15
102309,0.42
102310,0.19
102311,0.61
102312,0.06
102313,0.15
102314,0.16
102315,0.22
102316,0.25
102317,0.24
102318,0.59
102319,0.26
102320,0.08
102321,0.17
102322,0.24
102323,0.4
102324,0.19
102325,0.33
102326,0.46
102327,0.31
102328,0.38
102329,0.33
102330,0.43
102331,0.25
102332,0.17
102333,0.39
102334,0.16
102335,0.42
102336,0.37
102337,0.11
102338,0.32
102339,0.34
102340,0.24
102341,0.34
102342,0.27
102343,0.4
102344,0.29
102345,0.34
102346,0.27
102347,0.28
102348,0.38
102349,0.2
102350,0.26
102351,0.38
102352,0.6
102353,0.27
102354,0.12
102355,0.38
102356,0.33
102357,0.24
102358,0.24
102359,0.69
102360,0.36
102361,0.48
102362,0.18
102363,0.49
102364,0.41
102365,0.36
102366,0.42
102367,0.16
102368,0.28
102369,0.29
102370,0.83
102371,0.36
102372,0.5
102373,0.15
102374,0.24
102375,0.22
102376,0.04
102377,0.29
102378,0.42
102379,0.18
102380,0.64
102381,0.33
102382,0.26
102383,0.15
102384,0.4
102385,0.17
102386,0.15
102387,0.28
102388,0.64
102389,0.3
102390,0.5
102391,0.21
102392,0.48
102393,0.45
102394,0.6
102395,0.4
102396,0.23
102397,0.13
102398,0.06
102399,0.08
102400,0.34
102401,0.57
102402,0.18
102403,0.13
102404,0.59
102405,0.38
102406,0.35
102407,0.47
102408,0.22
102409,0.23
102410,0.06
102411,0.68
102412,0.34
102413,0.44
102414,0.2
102415,0.43
102416,0.36
102417,0.36
102418,0.36
102419,0.31
102420,0.73
102421,0.44
102422,0.27
102423,0.6
102424,0.45
102425,0.04
102426,0.37
102427,0.24
102428,0.22
102429,0.53
102430,0.29
102431,0.05
102432,0.12
102433,0.36
102434,0.27
102435,0.22
102436,0.32
102437,0.32
102438,0.05
102439,0.4
102440,0.38
102441,0.6
102442,0.07
102443,0.41
102444,0.32
102445,0.23
102446,0.26
102447,0.17
102448,0.33
102449,0.27
102450,0.4
102451,0.22
102452,0.36
102453,0.25
102454,0.2
102455,0.38
102456,0.33
102457,0.58
102458,0.31
102459,0.25
102460,0.27
102461,0.47
102462,0.83
102463,0.28
102464,0.3
102465,0.35
102466,0.49
102467,0.78
102468,0.24
102469,0.47
102470,0.27
102471,0.19
102472,0.37
102473,0.27
102474,0.27
102475,0.26
102476,0.38
102477,0.21
102478,0.1
102479,0.26
102480,0.05
102481,0.19
102482,0.48
102483,0.04
102484,0.35
102485,0.36
102486,0.37
102487,0.23
102488,0.05
102489,0.12
102490,0.25
102491,0.26
102492,0.23
102493,0.55
102494,0.53
102495,0.41
102496,0.39
102497,0.31
102498,0.27
102499,0.25
102500,0.09
102501,0.17
102502,0.53
102503,0.72
102504,0.51
102505,0.41
102506,0.07
102507,0.16
102508,0.24
102509,0.32
102510,0.06
102511,0.14
102512,0.4
102513,0.45
102514,0.38
102515,0.43
102516,0.05
102517,0.3
102518,0.24
102519,0.22
102520,0.22
102521,0.29
102522,0.25
102523,0.36
102524,0.22
102525,0.48
102526,0.44
102527,0.12
102528,0.18
102529,0.14
102530,0.34
102531,0.32
102532,0.54
102533,0.16
102534,0.25
102535,0.6
102536,0.35
102537,0.31
102538,0.39
102539,0.31
102540,0.1
102541,0.22
102542,0.21
102543,0.41
102544,0.14
102545,0.52
102546,0.27
102547,0.37
102548,0.39
102549,0.58
102550,0.38
102551,0.37
102552,0.07
102553,0.27
102554,0.07
102555,0.49
102556,0.25
102557,0.36
102558,0.45
102559,0.41
102560,0.67
102561,0.16
102562,0.47
102563,0.54
102564,0.25
102565,0.23
102566,0.28
102567,0.32
102568,0.49
102569,0.32
102570,0.28
102571,0.54
102572,0.12
102573,0.3
102574,0.22
102575,0.19
102576,0.24
102577,0.28
102578,0.39
102579,0.18
102580,0.57
102581,0.1
102582,0.32
102583,0.85
102584,0.32
102585,0.34
102586,0.93
102587,0.11
102588,0.85
102589,0.39
102590,0.16
102591,0.56
102592,0.44
102593,0.37
102594,0.39
102595,0.1
102596,0.37
102597,0.1
102598,0.28
102599,0.7
102600,0.6
102601,0.25
102602,0.47
102603,0.34
102604,0.25
102605,0.46
102606,0.17
102607,0.07
102608,0.29
102609,0.23
102610,0.31
102611,0.35
102612,0.32
102613,0.49
102614,0.25
102615,0.14
102616,0.2
102617,0.12
102618,0.33
102619,0.12
102620,0.36
102621,0.4
102622,0.34
102623,0.06
102624,0.26
102625,0.42
102626,0.23
102627,0.3
102628,0.48
102629,0.36
102630,0.67
102631,0.46
102632,0.27
102633,0.18
102634,0.53
102635,0.19
102636,0.29
102637,0.06
102638,0.2
102639,0.27
102640,0.3
102641,0.33
102642,0.6
102643,0.48
102644,0.49
102645,0.31
102646,0.28
102647,0.35
102648,0.09
102649,0.41
102650,0.33
102651,0.41
102652,0.18
102653,0.5
102654,0.31
102655,0.18
102656,0.36
102657,0.39
102658,0.28
102659,0.5
102660,0.47
102661,0.31
102662,0.78
102663,0.57
102664,0.08
102665,0.4
102666,0.36
102667,0.44
102668,0.11
102669,0.18
102670,0.21
102671,0.54
102672,0.24
102673,0.24
102674,0.22
102675,0.46
102676,0.31
102677,0.22
102678,0.29
102679,0.12
102680,0.29
102681,0.15
102682,0.22
102683,0.3
102684,0.45
102685,0.21
102686,0.23
102687,0.08
102688,0.62
102689,0.36
102690,0.23
102691,0.74
102692,0.02
102693,0.16
102694,0.4
102695,0.55
102696,0.1
102697,0.24
102698,0.39
102699,0.34
102700,0.38
102701,0.49
102702,0.78
102703,0.27
102704,0.29
102705,0.33
102706,0.42
102707,0.21
102708,0.36
102709,0.1
102710,0.26
102711,0.34
102712,0.27
102713,0.8
102714,0.11
102715,0.53
102716,0.5
102717,0.27
102718,0.32
102719,0.26
102720,0.37
102721,0.21
102722,0.36
102723,0.17
102724,0.43
102725,0.17
102726,0.2
102727,0.45
102728,0.18
102729,0.23
102730,0.32
102731,0.17
102732,0.32
102733,0.56
102734,0.89
102735,0.18
102736,0.27
102737,0.44
102738,0.28
102739,0.28
102740,0.27
102741,0.25
102742,0.5
102743,0.45
102744,0.23
102745,0.23
102746,0.36
102747,0.11
102748,0.46
102749,0.04
102750,0.25
102751,0.5
102752,0.24
102753,0.23
102754,0.24
102755,0.32
102756,0.2
102757,0.43
102758,0.17
102759,0.6
102760,0.49
102761,0.23
102762,0.2
102763,0.1
102764,0.45
102765,0.54
102766,0.18
102767,0.47
102768,0.59
102769,0.56
102770,0.07
102771,0.22
102772,0.16
102773,0.1
102774,0.82
102775,0.06
102776,0.44
102777,0.35
102778,0.35
102779,0.21
102780,0.85
102781,0.23
102782,0.36
102783,0.48
102784,0.25
102785,0.41
102786,0.06
102787,0.32
102788,0.11
102789,0.06
102790,0.37
102791,0.25
102792,0.5
102793,0.16
102794,0.41
102795,0.07
102796,0.06
102797,0.25
102798,0.22
102799,0.48
102800,0.3
102801,0.13
102802,0.66
102803,0.37
102804,0.29
102805,0.18
102806,0.24
102807,0.12
102808,0.24
102809,0.25
102810,0.18
102811,0.16
102812,0.07
102813,0.12
102814,0.44
102815,0.65
102816,0.32
102817,0.14
102818,0.52
102819,0.46
102820,0.3
102821,0.13
102822,0.34
102823,0.21
102824,0.52
102825,0.5
102826,0.77
102827,0.28
102828,0.13
102829,0.34
102830,0.16
102831,0.32
102832,0.34
102833,0.13
102834,0.33
102835,0.62
102836,0.2
102837,0.16
102838,0.51
102839,0.47
102840,0.23
102841,0.16
102842,0.35
102843,0.4
102844,0.5
102845,0.28
102846,0.08
102847,0.48
102848,0.6
102849,0.63
102850,0.21
102851,0.49
102852,0.73
102853,0.44
102854,0.33
102855,0.15
102856,0.27
102857,0.56
102858,0.43
102859,0.38
102860,0.26
102861,0.32
102862,0.3
102863,0.37
102864,0.23
102865,0.11
102866,0.14
102867,0.36
102868,0.44
102869,0.32
102870,0.18
102871,0.86
102872,0.12
102873,0.17
102874,0.38
102875,0.19
102876,0.38
102877,0.38
102878,0.44
102879,0.31
102880,0.19
102881,0.31
102882,0.25
102883,0.05
102884,0.23
102885,0.12
102886,0.27
102887,0.34
102888,0.22
102889,0.33
102890,0.34
102891,0.46
102892,0.26
102893,0.45
102894,0.41
102895,0.36
102896,0.33
102897,0.26
102898,0.2
102899,0.31
102900,0.25
102901,0.35
102902,0.22
102903,0.15
102904,0.22
102905,0.26
102906,0.23
102907,0.24
102908,0.33
102909,0.26
102910,0.12
102911,0.37
102912,0.08
102913,0.37
102914,0.17
102915,0.16
102916,0.22
102917,0.41
102918,0.32
102919,0.14
102920,0.43
102921,0.2
102922,0.4
102923,0.61
102924,0.61
102925,0.34
102926,0.1
102927,0.11
102928,0.21
102929,0.14
102930,0.38
102931,0.29
102932,0.47
102933,0.39
102934,0.76
102935,0.37
102936,0.29
102937,0.09
102938,0.1
102939,0.44
102940,0.16
102941,0.39
102942,0.39
102943,0.15
102944,0.29
102945,0.38
102946,0.12
102947,0.77
102948,0.33
102949,0.56
102950,0.31
102951,0.51
102952,0.72
102953,0.21
102954,0.19
102955,0.55
102956,0.08
102957,0.34
102958,0.51
102959,0.29
102960,0.12
102961,0.38
102962,0.3
102963,0.36
102964,0.05
102965,0.45
102966,0.32
102967,0.68
102968,0.23
102969,0.14
102970,0.38
102971,0.18
102972,0.7
102973,0.69
102974,0.41
102975,0.21
102976,0.37
102977,0.14
102978,0.51
102979,0.48
102980,0.41
102981,0.36
102982,0.32
102983,0.34
102984,0.39
102985,0.25
102986,0.29
102987,0.23
102988,0.27
102989,0.2
102990,0.36
102991,0.19
102992,0.52
102993,0.75
102994,0.61
102995,0.15
102996,0.27
102997,0.21
102998,0.1
102999,0.14
103000,0.29
103001,0.14
103002,0.23
103003,0.3
103004,0.45
103005,0.52
103006,0.55
103007,0.26
103008,0.34
103009,0.38
103010,0.07
103011,0.21
103012,0.15
103013,0.39
103014,0.2
103015,0.27
103016,0.46
103017,0.4
103018,0.32
103019,0.12
103020,0.22
103021,0.04
103022,0.52
103023,0.18
103024,0.35
103025,0.26
103026,0.47
103027,0.23
103028,0.2
103029,0.3
103030,0.26
103031,0.3
103032,0.12
103033,0.16
103034,0.29
103035,0.44
103036,0.39
103037,0.16
103038,0.42
103039,0.37
103040,0.5
103041,0.19
103042,0.32
103043,0.17
103044,0.33
103045,0.24
103046,0.33
103047,0.44
103048,0.27
103049,0.63
103050,0.63
103051,0.38
103052,0.22
103053,0.24
103054,0.24
103055,0.17
103056,0.22
103057,0.48
103058,0.59
103059,0.45
103060,0.51
103061,0.57
103062,0.39
103063,0.39
103064,0.29
103065,0.23
103066,0.15
103067,0.26
103068,0.45
103069,0.32
103070,0.89
103071,0.49
103072,0.3
103073,0.1
103074,0.17
103075,0.35
103076,0.18
103077,0.33
103078,0.2
103079,0.4
103080,0.23
103081,0.58
103082,0.5
103083,0.25
103084,0.39
103085,0.23
103086,0.21
103087,0.27
103088,0.33
103089,0.16
103090,0.76
103091,0.1
103092,0.3
103093,0.37
103094,0.51
103095,0.41
103096,0.33
103097,0.39
103098,0.28
103099,0.2
103100,0.4
103101,0.52
103102,0.39
103103,0.35
103104,0.15
103105,0.06
103106,0.29
103107,0.07
103108,0.15
103109,0.17
103110,0.65
103111,0.08
103112,0.16
103113,0.51
103114,0.08
103115,0.12
103116,0.64
103117,0.48
103118,0.33
103119,0.44
103120,0.36
103121,0.63
103122,0.31
103123,0.26
103124,0.36
103125,0.32
103126,0.37
103127,0.37
103128,0.2
103129,0.24
103130,0.08
103131,0.08
103132,0.12
103133,0.1
103134,0.34
103135,0.18
103136,0.35
103137,0.41
103138,0.46
103139,0.33
103140,0.66
103141,0.17
103142,0.18
103143,0.34
103144,0.4
103145,0.26
103146,0.24
103147,0.68
103148,0.35
103149,0.07
103150,0.41
103151,0.32
103152,0.47
103153,0.19
103154,0.59
103155,0.48
103156,0.15
103157,0.39
103158,0.3
103159,0.41
103160,0.05
103161,0.17
103162,0.28
103163,0.49
103164,0.07
103165,0.29
103166,0.81
103167,0.26
103168,0.42
103169,0.78
103170,0.02
103171,0.1
103172,0.65
103173,0.55
103174,0.37
103175,0.07
103176,0.45
103177,0.4
103178,0.46
103179,0.27
103180,0.54
103181,0.21
103182,0.14
103183,0.24
103184,0.13
103185,0.05
103186,0.19
103187,0.47
103188,0.81
103189,0.06
103190,0.41
103191,0.29
103192,0.33
103193,0.36
103194,0.18
103195,0.13
103196,0.39
103197,0.43
103198,0.23
103199,0.35
103200,0.51
103201,0.38
103202,0.28
103203,0.36
103204,0.44
103205,0.26
103206,0.12
103207,0.32
103208,0.35
103209,0.3
103210,0.34
103211,0.16
103212,0.15
103213,0.36
103214,0.32
103215,0.12
103216,0.2
103217,0.26
103218,0.45
103219,0.21
103220,0.5
103221,0.23
103222,0.29
103223,0.79
103224,0.11
103225,0.48
103226,0.27
103227,0.23
103228,0.66
103229,0.08
103230,0.21
103231,0.6
103232,0.64
103233,0.27
103234,0.18
103235,0.37
103236,0.88
103237,0.07
103238,0.07
103239,0.31
103240,0.27
103241,0.41
103242,0.42
103243,0.18
103244,0.06
103245,0.42
103246,0.22
103247,0.08
103248,0.27
103249,0.86
103250,0.39
103251,0.12
103252,0.35
103253,0.68
103254,0.24
103255,0.14
103256,0.15
103257,0.3
103258,0.17
103259,0.16
103260,0.11
103261,0.12
103262,0.49
103263,0.16
103264,0.34
103265,0.35
103266,0.49
103267,0.12
103268,0.1
103269,0.32
103270,0.17
103271,0.28
103272,0.31
103273,0.44
103274,0.34
103275,0.35
103276,0.2
103277,0.58
103278,0.17
103279,0.06
103280,0.37
103281,0.39
103282,0.25
103283,0.55
103284,0.27
103285,0.35
103286,0.31
103287,0.31
103288,0.22
103289,0.23
103290,0.93
103291,0.05
103292,0.34
103293,0.14
103294,0.02
103295,0.41
103296,0.28
103297,0.39
103298,0.12
103299,0.14
103300,0.77
103301,0.42
103302,0.24
103303,0.47
103304,0.36
103305,0.39
103306,0.13
103307,0.23
103308,0.03
103309,0.2
103310,0.44
103311,0.38
103312,0.25
103313,0.33
103314,0.29
103315,0.19
103316,0.53
103317,0.15
103318,0.28
103319,0.68
103320,0.29
103321,0.47
103322,0.16
103323,0.56
103324,0.22
103325,0.23
103326,0.37
103327,0.44
103328,0.24
103329,0.21
103330,0.57
103331,0.35
103332,0.15
103333,0.26
103334,0.15
103335,0.34
103336,0.4
103337,0.72
103338,0.46
103339,0.28
103340,0.12
103341,0.25
103342,0.32
103343,0.12
103344,0.37
103345,0.8
103346,0.35
103347,0.43
103348,0.81
103349,0.54
103350,0.26
103351,0.46
103352,0.24
103353,0.22
103354,0.23
103355,0.33
103356,0.52
103357,0.07
103358,0.6
103359,0.31
103360,0.46
103361,0.71
103362,0.44
103363,0.55
103364,0.18
103365,0.15
103366,0.32
103367,0.24
103368,0.41
103369,0.2
103370,0.45
103371,0.2
103372,0.26
103373,0.18
103374,0.54
103375,0.46
103376,0.18
103377,0.39
103378,0.07
103379,0.07
103380,0.06
103381,0.29
103382,0.72
103383,0.25
103384,0.37
103385,0.38
103386,0.11
103387,0.22
103388,0.46
103389,0.51
103390,0.45
103391,0.47
103392,0.38
103393,0.34
103394,0.39
103395,0.51
103396,0.38
103397,0.31
103398,0.33
103399,0.26
103400,0.46
103401,0.35
103402,0.26
103403,0.61
103404,0.08
103405,0.62
103406,0.57
103407,0.57
103408,0.2
103409,0.2
103410,0.15
103411,0.15
103412,0.31
103413,0.4
103414,0.3
103415,0.3
103416,0.32
103417,0.42
103418,0.48
103419,0.26
103420,0.22
103421,0.09
103422,0.37
103423,0.35
103424,0.64
103425,0.51
103426,0.29
103427,0.34
103428,0.93
103429,0.37
103430,0.29
103431,0.16
103432,0.33
103433,0.26
103434,0.46
103435,0.56
103436,0.39
103437,0.7
103438,0.15
103439,0.17
103440,0.3
103441,0.15
103442,0.25
103443,0.04
103444,0.09
103445,0.35
103446,0.22
103447,0.15
103448,0.22
103449,0.41
103450,0.21
103451,0.28
103452,0.21
103453,0.16
103454,0.18
103455,0.72
103456,0.29
103457,0.48
103458,0.25
103459,0.4
103460,0.39
103461,0.31
103462,0.27
103463,0.27
103464,0.31
103465,0.47
103466,0.32
103467,0.65
103468,0.71
103469,0.88
103470,0.39
103471,0.42
103472,0.23
103473,0.21
103474,0.46
103475,0.25
103476,0.7
103477,0.61
103478,0.23
103479,0.18
103480,0.49
103481,0.43
103482,0.11
103483,0.2
103484,0.26
103485,0.22
103486,0.12
103487,0.17
103488,0.46
103489,0.58
103490,0.45
103491,0.23
103492,0.34
103493,0.36
103494,0.25
103495,0.67
103496,0.35
103497,0.21
103498,0.26
103499,0.11
103500,0.25
103501,0.69
103502,0.44
103503,0.57
103504,0.47
103505,0.29
103506,0.19
103507,0.23
103508,0.42
103509,0.12
103510,0.55
103511,0.4
103512,0.08
103513,0.23
103514,0.74
103515,0.36
103516,0.24
103517,0.38
103518,0.35
103519,0.79
103520,0.31
103521,0.18
103522,0.45
103523,0.35
103524,0.35
103525,0.21
103526,0.09
103527,0.29
103528,0.23
103529,0.19
103530,0.42
103531,0.29
103532,0.37
103533,0.38
103534,0.33
103535,0.4
103536,0.14
103537,0.32
103538,0.27
103539,0.2
103540,0.57
103541,0.2
103542,0.37
103543,0.41
103544,0.05
103545,0.14
103546,0.27
103547,0.3
103548,0.54
103549,0.14
103550,0.21
103551,0.33
103552,0.15
103553,0.28
103554,0.32
103555,0.28
103556,0.24
103557,0.25
103558,0.16
103559,0.2
103560,0.67
103561,0.17
103562,0.14
103563,0.12
103564,0.21
103565,0.55
103566,0.25
103567,0.38
103568,0.46
103569,0.1
103570,0.28
103571,0.19
103572,0.45
103573,0.2
103574,0.26
103575,0.36
103576,0.31
103577,0.38
103578,0.34
103579,0.45
103580,0.17
103581,0.15
103582,0.4
103583,0.19
103584,0.27
103585,0.41
103586,0.29
103587,0.18
103588,0.43
103589,0.28
103590,0.33
103591,0.32
103592,0.08
103593,0.29
103594,0.29
103595,0.26
103596,0.33
103597,0.31
103598,0.38
103599,0.38
103600,0.21
103601,0.47
103602,0.21
103603,0.48
103604,0.09
103605,0.54
103606,0.24
103607,0.31
103608,0.33
103609,0.41
103610,0.66
103611,0.14
103612,0.03
103613,0.24
103614,0.59
103615,0.18
103616,0.45
103617,0.45
103618,0.29
103619,0.52
103620,0.07
103621,0.34
103622,0.5
103623,0.44
103624,0.06
103625,0.63
103626,0.3
103627,0.25
103628,0.24
103629,0.25
103630,0.54
103631,0.13
103632,0.62
103633,0.8
103634,0.23
103635,0.24
103636,0.16
103637,0.43
103638,0.22
103639,0.43
103640,0.28
103641,0.3
103642,0.12
103643,0.32
103644,0.29
103645,0.27
103646,0.4
103647,0.08
103648,0.14
103649,0.05
103650,0.41
103651,0.7
103652,0.09
103653,0.31
103654,0.12
103655,0.22
103656,0.2
103657,0.4
103658,0.24
103659,0.34
103660,0.23
103661,0.28
103662,0.18
103663,0.22
103664,0.19
103665,0.29
103666,0.28
103667,0.2
103668,0.4
103669,0.41
103670,0.36
103671,0.07
103672,0.29
103673,0.29
103674,0.34
103675,0.3
103676,0.34
103677,0.32
103678,0.28
103679,0.29
103680,0.62
103681,0.24
103682,0.35
103683,0.05
103684,0.35
103685,0.25
103686,0.4
103687,0.07
103688,0.57
103689,0.05
103690,0.64
103691,0.4
103692,0.56
103693,0.12
103694,0.06
103695,0.11
103696,0.27
103697,0.47
103698,0.07
103699,0.69
103700,0.23
103701,0.05
103702,0.31
103703,0.27
103704,0.33
103705,0.1
103706,0.45
103707,0.51
103708,0.57
103709,0.1
103710,0.26
103711,0.19
103712,0.06
103713,0.42
103714,0.38
103715,0.27
103716,0.44
103717,0.18
103718,0.36
103719,0.32
103720,0.3
103721,0.46
103722,0.86
103723,0.24
103724,0.4
103725,0.16
103726,0.02
103727,0.27
103728,0.24
103729,0.48
103730,0.33
103731,0.24
103732,0.51
103733,0.1
103734,0.18
103735,0.36
103736,0.55
103737,0.3
103738,0.23
103739,0.32
103740,0.44
103741,0.18
103742,0.96
103743,0.47
103744,0.06
103745,0.38
103746,0.19
103747,0.42
103748,0.2
103749,0.65
103750,0.38
103751,0.68
103752,0.23
103753,0.29
103754,0.33
103755,0.37
103756,0.23
103757,0.17
103758,0.28
103759,0.57
103760,0.39
